Gender,Age,Batch,Grad_Year,Background,Major,Specialization,University,City,Student_Type,Selection_Reason,Job_Domain,Job_Role,Salary,Satisfaction,Status,Job_Support_Rating,Job_Support_Explain,Faculty_Rating,Faculty_Explain,Resources_Rating,Resources_Explain,Labs_Rating,Labs_Explain,Sports_Rating,Sports_Explain,Cafe_Rating,Cafe_Explain,Hostel_Rating,Hostel_Explain,Events_Rating,Events_Explain,Campus_Rating,Campus_Explain,Mgmt_Rating,Mgmt_Explain,Overall_Rating,Overall_Explain,Hardships,Lessons,Recommend,Recommend_Why,Job_Ready,Platform_Wish,Final_Comments,Repairing_Things,Working_Outdoors,Building_Things,Fixing_Appliances,Operating_Machines,Building_Models,Organizing_Info,Handling_Records,Balancing_Budgets,Meeting_Records,Systematic_Schedules,Finding_Errors,Solving_Problems,Experimenting,Investigating_Causes,Logic_Discussion,Analyzing_Graphs,Music_Activities,Designing_Posters,Writing_Plays,Acting_Films,Creative_Ideas,Teaching_Others,Helping_People,Volunteer_Work,Charity_Activities,Training_Others,Including_Others,Leading_Groups,Presenting_Ideas,Persuading_People,Leadership_Goal,Taking_Risks,Competitive_Situations,Submission_Status
Male,23.0,2020.0,2024.0,FSc Pre-Engineering,STEM,Computer Science,"National University Of Computer And Emerging Sciences, Islamabad",Islamabad,Studying only,Job placement and career opportunities,IT,Software Engineer,100k – 200k,4.0,Employed within 3 months,3.0,placement office is slow but the FAST tag gets you interviews automatically,5.0,teachers like Sir Taimur make you work hard but you learn actual coding,3.0,internet in the library disconnects a lot during peak hours,5.0,labs have good i7 machines but ac is too cold sometimes,2.0,cricket ground is basically just a dusty patch near the gate,3.0,suffa cafe has decent rolls but gets too crowded,1.0,,2.0,nascon is the only big event otherwise its dead,2.0,campus is tiny just 3 buildings and a lawn,2.0,admin charges fines for everything even 1 min late,4.0,the ragra was brutal but i got a job instantly,mental health issues due to gpa,how to survive pressure,Yes,best ROI in pakistan,Somewhat,Yes,,3,5,4,5,5,5,4,4,4,3,2,3,5,4,4,5,4,2,3,2,2,3,4,3,3,2,4,3,4,4,4,3,3,3,Done
Male,25.0,2018.0,2022.0,A-Levels (Science),STEM,Electrical Engineering,"National University Of Science & Technology, Islamabad",Islamabad,Studying only,Based on university ranking/reputation,Engineering,Power Engineer,50k – 100k,3.0,Employed within 6 months,4.0,NUST placement office sends CVs to big power companies,4.0,SEECS faculty is research oriented specially dr hammada,5.0,central library is world class best place to study,5.0,high voltage lab is state of the art,5.0,sports complex has everything swimming pool is clean,5.0,C1 and C2 have so many food options,4.0,hostels are clean but mess food is repetitive,5.0,orientation week and olympiads are best in pakistan,5.0,H-12 is massive you need shuttle to get around,2.0,admin makes you run from office to office for one signature,5.0,best 4 years of my life,relative grading is unfair,networking is key,Yes,brand name and alumni network,Yes,Yes,,3,3,3,3,3,4,2,2,4,2,3,2,5,5,3,3,5,4,3,4,3,3,3,3,2,3,2,3,4,3,4,2,2,2,Done
Female,24.0,2019.0,2023.0,ICS,STEM,Software Engineering,"Comsats University Islamabad, Islamabad",Islamabad,Studying only,Location and accessibility,IT,QA Engineer,50k – 100k,3.0,Employed within 12 months,3.0,they focus more on research papers than industry jobs,3.0,visiting faculty cancels classes a lot,4.0,library is huge and has digital access to ieee,3.0,labs are okay but keyboards are often broken,3.0,good ground for cricket but girls sports are limited,5.0,ayaans cafe tea is famous and food is cheap,2.0,did not live in hostel but heard water issues,4.0,student week is very hype,4.0,campus is beautiful specially the walkway near library,2.0,guards are very rude regarding id cards,3.0,good for research bad for industry skills,strict proctoring in exams,research methodology,Yes,good if you want to go abroad,Somewhat,Yes,,5,5,4,4,5,5,2,4,3,2,3,3,4,4,5,5,5,4,4,4,5,3,4,2,4,4,3,4,3,4,2,3,4,4,
Male,26.0,2017.0,2021.0,FSc Pre-Engineering,Business & Economics,BBA,"Bahria University, E-8 Campus, Islamabad",Islamabad,Studying along with a job,Location and accessibility,Business,Marketing Manager,100k – 200k,4.0,Employed within 6 months,3.0,business school has good links with navy orgs,4.0,marketing teachers are from corporate sector,3.0,library is quiet but closes too early,3.0,computer labs are outdated,2.0,gym is there but very small,4.0,cafe has good ambiance and fast food,1.0,,4.0,concerts happen every semester,4.0,E-8 location is prime but parking is a nightmare,3.0,management is cooperative mostly,4.0,balanced social life and study,parking fights,presentation skills,Yes,social grooming is good,Somewhat,Yes,,3,1,2,1,3,3,4,4,4,5,4,5,3,4,3,3,2,4,2,4,2,3,4,3,4,3,3,2,4,3,4,4,5,3,
Female,23.0,2020.0,2024.0,A-Levels (Business),Social Sciences,Psychology,"International Islamic University, Islamabad",Islamabad,Studying only,Fee structure,Healthcare,HR Intern,Less than 50k,2.0,Still searching,1.0,zero support for psychology students placement is only for engineering,3.0,female campus teachers are strict about attendance,2.0,library books are very old editions,1.0,no specific labs for us,2.0,separate sports complex is there but maintenance is zero,3.0,cafeteria is cheap but not hygienic,3.0,hostel curfew is very strict at 7pm,1.0,cultural day is the only event,4.0,faisal mosque view is the only good thing,2.0,transport buses are always overcrowded and late,3.0,good if you are on a budget,bus commute struggles,patience with admin,Maybe,only for religious environment,No,Yes,,4,4,3,4,2,4,4,2,3,4,3,4,4,4,3,2,3,3,2,3,3,2,5,5,4,5,5,4,2,4,4,3,2,2,
Male,24.0,2019.0,2023.0,ICS,STEM,Cyber Security,"Air University, Islamabad",Islamabad,Studying only,Location and accessibility,IT,Security Analyst,100k – 200k,5.0,Employed within 3 months,4.0,PAF links help in getting defense sector internships,4.0,CS faculty is very stable and experienced,4.0,digital library access is good,5.0,security labs have kali linux and good servers,3.0,table tennis and badminton only,3.0,cafe is small and gets overcrowded in break,1.0,,3.0,air tech event is technical and good,4.0,campus is compact but view of margalla is nice,4.0,very disciplined environment due to air force admin,4.0,focused environment for study,strict dress code,discipline,Yes,emerging best for cyber,Yes,Yes,,5,4,5,3,4,4,2,2,3,4,4,2,4,5,5,4,4,5,4,5,3,3,4,3,3,4,3,3,2,3,2,2,3,3,
Female,22.0,2021.0,2025.0,FSc Pre-Medical,Social Sciences,Media Studies,"Riphah International University, Islamabad",Islamabad,Studying only,Course outline,Media,Content Creator,50k – 100k,4.0,Employed within 6 months,3.0,media dept helps find internships in news channels,4.0,teachers are working journalists so practical knowledge is good,3.0,studio equipment is available but limited,4.0,editing labs are mac based,1.0,no sports facilities for girls,3.0,desie food options are good,4.0,hostels are strict but secure,3.0,islamic culture is dominant so no music concerts,3.0,campus is basically a building in I-14,4.0,management is ethical and responsive,4.0,good if you want islamic environment,long commute to I-14,ethics and values,Yes,value based education,Somewhat,Yes,,3,4,4,4,4,4,4,2,4,4,4,3,3,5,5,4,3,4,3,4,3,4,5,5,4,4,5,5,3,3,4,2,3,4,
Male,25.0,2018.0,2022.0,DAE / Diploma,STEM,Civil Engineering,"Capital University Of Science And Technology, Islamabad",Islamabad,Studying along with a job,Influence of teachers,Construction,Site Engineer,50k – 100k,3.0,Employed within 12 months,3.0,placement bureau is active but construction jobs are less,4.0,civil dept faculty is very experienced,3.0,online portal works well for notes,5.0,concrete and soil labs are heavy duty,4.0,basketball court is well maintained,3.0,cafe is clean but menu is limited,1.0,,3.0,visio spark is the main event,4.0,purpose built campus with good architecture,3.0,fines for dress code are annoying,3.0,good infrastructure,load shedding in summers,practical skills,Maybe,good backup for engineering,Somewhat,Yes,,4,5,5,5,4,5,2,3,2,3,3,2,4,5,4,3,5,3,3,2,1,2,4,3,3,2,3,3,4,4,4,2,2,2,
Male,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Electrical,"PIEAS, Islamabad",Islamabad,Studying only,Ranking,Engineering,Control Engineer,100k – 200k,5.0,Employed before graduation,5.0,fellowship ensures job at PAEC after graduation,5.0,faculty are top scientists of pakistan,4.0,library has access to expensive journals,5.0,labs are restricted but world class,4.0,sports are encouraged to relieve stress,3.0,mess food is average but subsidized,5.0,hostel life is best everyone is intellectual,3.0,technical events only,4.0,far from city but peaceful,5.0,very smooth academic calendar,5.0,elite institute for engineering,academic pressure is insane,time management,Yes,only for toppers,Yes,Yes,,4,3,4,3,4,4,2,4,2,4,4,3,3,4,4,5,4,4,4,3,2,4,4,4,2,2,2,2,4,2,4,4,4,2,
Female,23.0,2020.0,2024.0,ICS,STEM,CS,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,IT,Data Scientist,50k – 100k,3.0,Still searching,1.0,no career fair for CS students mostly academic focus,3.0,teachers are phd but teaching style is old,2.0,library is haunted and old,3.0,labs are crowded with old pcs,5.0,hiking trails and open sports grounds are best,3.0,huts offer cheap chai and paratha,2.0,hostel politics make it unsafe sometimes,4.0,cultural nights are diverse and fun,5.0,campus is a forest very scenic,2.0,strikes happen every other month closing the uni,3.0,great for research bad for timely graduation,political clashes,survival of fittest,Yes,if you want to do phd later,No,Yes,None.,5,4,5,5,5,5,4,4,3,2,2,2,4,3,5,4,3,3,4,3,2,2,2,4,2,3,3,4,2,4,4,2,3,2,
Male,27.0,2016.0,2020.0,A-Levels (Arts),Social Sciences,International Relations,"National Defence University, Islamabad",Islamabad,Studying along with a job,Reputation,Government,Analyst,100k – 200k,5.0,Employed within 12 months,3.0,hard to break into govt jobs without css,5.0,professors are retired generals and ambassadors,4.0,library has exclusive defense archives,1.0,,3.0,gym is decent,4.0,officers mess is high quality,1.0,,3.0,seminars with foreign delegates are common,5.0,high security zone very clean,3.0,security checks take 20 mins every day,5.0,prestigious degree for IR,elite peer pressure,critical analysis,Yes,best for policy studies,Somewhat,Yes,,4,3,2,2,4,4,4,2,2,3,4,2,5,5,3,3,3,3,3,4,2,3,5,5,5,4,5,5,5,5,4,3,4,4,
Female,22.0,2021.0,2025.0,I.Com,Business & Economics,Accounting,"Szabist, Islamabad",Islamabad,Studying only,Location,Business,Accountant,Less than 50k,2.0,Employed within 6 months,2.0,career services are just formal nothing practical,3.0,visiting faculty from corporate is good,3.0,library is small room,2.0,computer labs are average,1.0,no ground just a basement for table tennis,2.0,tuck shop options are bad,1.0,,4.0,zambeel fest is the highlight,2.0,campus is just one building in blue area,3.0,cooperative staff,3.0,good degree but zero campus life,feeling trapped in building,corporate grooming,Maybe,for degree only,No,Yes,,2,3,3,3,2,3,5,4,5,5,5,5,4,2,3,2,3,4,4,4,2,4,3,4,3,3,4,3,4,5,5,4,5,4,
Male,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Mechanical,"Institute Of Space Technology, Islamabad",Islamabad,Studying only,Ranking,Engineering,Aerospace Engineer,100k – 200k,4.0,Employed within 6 months,4.0,links with suparco help,5.0,teachers are very passionate about aerospace,4.0,labs have wind tunnels,5.0,observatory is unique to IST,4.0,sports gala is competitive,3.0,food is standard canteen stuff,3.0,hostel is far on highway,4.0,space week is very popular,4.0,scenic location out of city,4.0,admin is strict but fair,5.0,unique niche in pakistan,tough grading policy,precision engineering,Yes,if you love planes,Yes,Yes,,5,5,5,4,4,5,3,4,3,4,4,2,5,4,5,5,5,2,3,3,4,3,3,4,3,2,4,3,3,2,4,4,4,3,
Female,23.0,2020.0,2024.0,A-Levels (Science),STEM,Architecture,"NUST, Islamabad",Islamabad,Studying only,Ranking,Architecture,Junior Architect,50k – 100k,3.0,Employed within 3 months,3.0,architecture market is saturated placement doesnt help much,5.0,SADA faculty pushes you to limit,5.0,resource center has good plotting machines,5.0,studio culture is amazing,3.0,no time for sports,4.0,C1 cafe is lifesaver during all nighters,4.0,hostels are safe,3.0,missed most events due to jury submissions,5.0,H-12 is inspiring for architects,3.0,admin paperwork is slow,4.0,exhausting but worth it,sleepless nights for jury,design thinking,Yes,top school for architecture,Somewhat,Yes,,4,5,5,5,4,3,2,4,2,4,3,4,4,4,4,5,5,3,2,1,2,3,2,2,2,2,4,4,4,4,3,2,2,4,
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement and career opportunities,IT,DevOps Engineer,200k – 400k,5.0,Employed before graduation,5.0,companies come to campus to hire us before finals,4.0,teachers are brutal with grading but fair,3.0,library needs more plugs for laptops,5.0,labs are open 24/7 for FYP,1.0,sports? we dont have time,2.0,cafe food is oily,1.0,,1.0,no events allowed basically,2.0,campus feels like a school,1.0,management is arrogant,4.0,hated the process loved the result,failing courses,resilience,Yes,ticket to high salary,Yes,Yes,,5,5,4,5,5,4,2,4,4,2,2,3,5,5,5,5,5,4,5,3,5,5,4,2,3,4,4,3,4,4,2,4,2,3,
Female,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Electrical,"Bahria University, H-11 Campus, Islamabad",Islamabad,Studying only,Location,Engineering,Telecom Engineer,50k – 100k,3.0,Employed within 12 months,2.0,engineering jobs are less placement office focuses on BBA,3.0,faculty is average mostly visiting,3.0,library is good for sleeping,4.0,labs are brand new in H-11,2.0,ground is dusty and unmaintained,3.0,cafe is expensive,1.0,,3.0,events are frequent,3.0,H-11 campus is still under construction,2.0,parking is a daily war,3.0,average engineering experience,dust and construction noise,flexibility,Yes,good social life,No,Yes,,4,3,4,3,4,4,3,3,4,4,4,4,4,5,3,3,4,4,4,2,2,2,2,3,2,3,3,3,4,3,4,2,4,2,
Male,23.0,2020.0,2024.0,ICS,STEM,CS,"Federal Urdu University, Islamabad",Islamabad,Studying along with a job,Fee structure,IT,Support Engineer,Less than 50k,2.0,Still searching,1.0,no placement cell whatsoever,2.0,teachers are often absent,1.0,library has no recent books,1.0,labs computers dont work,1.0,no sports ground,2.0,canteen is unhygienic,1.0,,1.0,no events,1.0,campus is a rented house basically,1.0,management loses documents frequently,1.0,regret admission here,power outages in class,self teaching,No,save your money,No,No,,5,4,4,5,4,5,2,3,4,2,4,4,5,5,4,5,4,1,1,1,1,2,2,3,4,2,4,4,3,2,3,4,3,3,
Male,26.0,2017.0,2021.0,A-Levels (Mixed Subjects),Business & Economics,Economics,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,Business,Economist,50k – 100k,4.0,Employed within 12 months,2.0,academic career path mostly no corporate links,5.0,economics school is oldest and best in country,3.0,library is good for archives,2.0,no labs needed,4.0,walking in university is great exercise,3.0,huts are classic,4.0,hostel culture is strong,3.0,cultural events are political,5.0,best nature in islamabad,2.0,admin is very bureaucratic,4.0,strong academic foundation,strikes,critical theory,Yes,best for economics,No,Yes,,2,2,2,3,1,3,5,4,5,5,5,5,2,3,2,4,2,4,2,4,2,4,3,4,3,3,3,2,5,3,5,3,5,3,
Female,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Software Engineering,"Air University, Islamabad",Islamabad,Studying only,Location,IT,App Developer,100k – 200k,4.0,Employed within 3 months,4.0,career fair attracts good software houses,4.0,faculty is very supportive,3.0,library is small,4.0,labs are good,2.0,sports are limited,3.0,cafe is okay,1.0,,3.0,air tech is good,4.0,campus is safe and clean,4.0,admin is disciplined,4.0,smooth degree process,strict timing,coding standards,Yes,good mid tier option,Yes,Yes,,5,5,3,4,4,3,3,3,4,3,3,2,4,4,3,5,3,4,3,5,3,3,3,3,4,2,4,4,2,2,2,2,4,2,
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"Foundation University, Islamabad",Islamabad,Studying only,Location,Healthcare,Data Entry,Less than 50k,2.0,Still searching,2.0,placement focuses on medical students,3.0,CS faculty is average,3.0,library is decent,3.0,labs are average,3.0,sports complex is shared,4.0,cafeteria is clean,1.0,,3.0,fauji foundation events,4.0,campus is very clean and green,4.0,very strict rules,3.0,okay for medical not for CS,strict discipline,discipline,Maybe,only for medical,No,Yes,,4,5,5,4,4,3,4,4,2,2,4,2,5,4,5,4,5,1,3,1,3,3,4,3,4,3,4,3,4,4,4,4,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat,Yes,,2,4,2,3,2,2,3,2,2,3,2,3,4,2,2,4,4,2,4,2,3,3,2,4,3,3,3,4,4,3,4,4,2,4,
Male,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Civil Engineering,"NUST, Islamabad",Islamabad,Studying only,Reputation,Construction,Site Engineer,50k – 100k,3.0,Employed within 6 months,4.0,civil alumni network is strong in NESPAK and housing societies,5.0,professors are authors of codes used in pakistan,4.0,library has huge civil section,5.0,earthquake engineering center is one of a kind,5.0,cricket ground in H-12 is international standard,4.0,concordia 1 has best tea,4.0,hostels near nice have good views,5.0,olympiad is insane,5.0,walking from gate 10 to nice is a workout but beautiful,3.0,security guards check bags like we are criminals,5.0,proud nustian,transport issues inside campus,networking,Yes,best campus life,Yes,Yes,,4,5,5,4,3,5,2,2,3,3,2,2,4,5,5,4,4,2,2,2,4,2,3,3,4,3,3,4,4,2,2,2,3,3,
Female,23.0,2020.0,2024.0,ICS,STEM,CS,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement,IT,Frontend Dev,100k – 200k,4.0,Employed within 3 months,4.0,companies know we can code blindfolded,2.0,some visiting teachers just read pdfs and leave,3.0,library is always full during exam week no space to sit,4.0,mac labs are good for ios dev,1.0,no ground means no sports,2.0,food is oily and causes stomach issues,1.0,,1.0,management cancelled our welcome party,2.0,claustrophobic feel,2.0,they fine you if you forget id card,4.0,mental torture but financial gain,depression and anxiety,survival skills,Yes,money talks,Yes,Yes,,5,4,5,5,5,5,2,2,4,3,4,4,3,4,3,3,3,1,2,3,1,1,3,4,3,3,2,2,4,3,3,2,4,2,
Male,25.0,2018.0,2022.0,A-Levels (Business),Business & Economics,Accounting,"Bahria University, E-8 Campus, Islamabad",Islamabad,Studying along with a job,Location,Finance,Auditor,50k – 100k,3.0,Employed within 12 months,3.0,career office focuses more on marketing students,4.0,acca qualified teachers are great,3.0,library is decent,2.0,computer labs have viruses mostly,2.0,gym is tiny,5.0,sweet tooth and subway are inside campus,1.0,,5.0,concerts are the main attraction,3.0,parking is literally impossible after 9am,3.0,student support center is helpful,4.0,chill scene and degree,parking rage,balancing work study,Yes,stress free life,Somewhat,Yes,,2,4,3,2,3,4,3,4,5,5,4,3,4,2,2,2,3,3,4,2,2,4,2,3,3,2,3,4,5,4,5,4,5,3,
Female,22.0,2021.0,2025.0,FSc Pre-Medical,Social Sciences,Psychology,"Foundation University, Islamabad",Islamabad,Studying only,Location,Healthcare,Psychologist,Less than 50k,4.0,Still searching,2.0,they only care about mbbs students,5.0,psychology dept has practicing doctors,3.0,library is quiet,3.0,testing labs are available,3.0,sports complex is separate for girls,4.0,cafeteria is subsidized,1.0,,3.0,mental health day is celebrated well,4.0,very peaceful environment near river,4.0,strict attendance rules,4.0,good learning environment,exam stress,empathy,Yes,good faculty,No,Yes,,3,4,2,2,3,2,4,3,2,2,2,2,3,2,2,2,2,4,4,2,4,4,5,5,5,5,5,5,5,3,4,4,5,4,
Male,26.0,2017.0,2021.0,DAE / Diploma,STEM,Electrical,"Comsats University Islamabad, Islamabad",Islamabad,Studying along with a job,Fee structure,Engineering,Telecom Engineer,50k – 100k,3.0,Employed within 12 months,3.0,placement is okay for telecom,3.0,some teachers have huge ego issues,4.0,digital library is best,4.0,antenna labs are good,3.0,cricket tournaments are frequent,5.0,ayaans chai is best in winters,2.0,hostel water is often cold in winters,4.0,student week concerts are memorable,3.0,campus is nice but too many stray dogs,2.0,admin makes you run around for clearance,3.0,average experience,bus commute is tiring,patience,Maybe,middle class option,Somewhat,Yes,,5,4,5,4,5,4,3,3,3,2,3,3,4,4,4,3,3,3,2,2,2,3,4,4,3,4,4,2,2,2,2,2,3,4,
Female,24.0,2019.0,2023.0,ICS,STEM,Software Engineering,"International Islamic University, Islamabad",Islamabad,Studying only,Fee structure,IT,PHP Developer,50k – 100k,3.0,Employed within 6 months,2.0,no one guides about software industry trends,3.0,female campus teachers are knowledgeable,2.0,books are outdated,2.0,systems are i3 and very slow,2.0,badminton court is okay,3.0,cafeteria is cheap,3.0,hostel food is very spicy,1.0,no events allowed except naat competition,3.0,female campus is enclosed,2.0,transport buses are a nightmare of suffocation,3.0,economical degree,conservative environment,modest dressing,Maybe,cheapest option,No,Yes,,4,4,4,5,5,4,3,4,4,4,4,2,5,4,3,5,3,2,2,1,2,3,4,3,4,4,3,4,4,2,3,4,2,2,
Male,23.0,2020.0,2024.0,A-Levels (Science),STEM,AI,"Air University, Islamabad",Islamabad,Studying only,Location,IT,ML Engineer,100k – 200k,5.0,Employed within 3 months,5.0,air force projects give good exposure,4.0,dr zajaji is a legend in AI,4.0,library has good thesis collection,5.0,gpu labs are actually working,2.0,only table tennis available,3.0,food is standard nothing special,1.0,,3.0,air tech is technical and fun,4.0,margalla view is refreshing,5.0,very disciplined due to air force admin,5.0,rising star in CS,strict discipline,punctuality,Yes,good alternative to nust,Yes,Yes,,5,5,5,5,5,5,2,3,2,3,3,3,5,5,5,5,5,3,3,3,4,5,2,4,2,4,4,3,4,3,3,3,2,4,
Female,25.0,2018.0,2022.0,FSc Pre-Engineering,STEM,Architecture,"Comsats University Islamabad, Islamabad",Islamabad,Studying only,Ranking,Architecture,Architect,50k – 100k,3.0,Employed within 6 months,2.0,architecture jobs are self hunt,4.0,faculty is creative,3.0,library has good design books,5.0,studio is like second home,2.0,no time for sports,4.0,cafe is good for snacks,2.0,private hostels near uni are unsafe,4.0,thesis display is a big event,4.0,red brick campus looks aesthetic,3.0,guards are annoying,4.0,love hate relationship,studio sleepless nights,creativity,Yes,good design school,No,Yes,,4,5,4,5,4,5,2,3,2,3,3,4,3,4,5,3,4,4,4,4,3,3,3,2,2,2,2,4,2,2,3,2,4,3,
